res	var	per	id	start	end	ismeta	path
soil	daily	historical	15207	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_15207.txt.gz
soil	daily	historical	1526	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1526.txt.gz
soil	daily	historical	154	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_154.txt.gz
soil	daily	historical	1544	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1544.txt.gz
soil	daily	historical	15444	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_15444.txt.gz
soil	daily	historical	1550	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1550.txt.gz
soil	daily	historical	15555	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_15555.txt.gz
soil	daily	historical	1572	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1572.txt.gz
soil	daily	historical	1580	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1580.txt.gz
soil	daily	historical	15813	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_15813.txt.gz
soil	daily	historical	1584	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1584.txt.gz
soil	daily	historical	1587	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1587.txt.gz
soil	daily	historical	1590	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1590.txt.gz
soil	daily	historical	1602	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1602.txt.gz
soil	daily	historical	1605	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1605.txt.gz
soil	daily	historical	161	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_161.txt.gz
soil	daily	historical	1612	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1612.txt.gz
soil	daily	historical	1639	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1639.txt.gz
soil	daily	historical	164	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_164.txt.gz
soil	daily	historical	1645	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1645.txt.gz
soil	daily	historical	1666	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1666.txt.gz
soil	daily	historical	167	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_167.txt.gz
soil	daily	historical	1684	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1684.txt.gz
soil	daily	historical	1691	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1691.txt.gz
soil	daily	historical	1694	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1694.txt.gz
soil	daily	historical	1721	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1721.txt.gz
soil	daily	historical	1735	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1735.txt.gz
soil	daily	historical	1736	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1736.txt.gz
soil	daily	historical	1757	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1757.txt.gz
soil	daily	historical	1759	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1759.txt.gz
soil	daily	historical	1766	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1766.txt.gz
soil	daily	historical	1792	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1792.txt.gz
soil	daily	historical	1803	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1803.txt.gz
soil	daily	historical	183	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_183.txt.gz
soil	daily	historical	1863	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1863.txt.gz
soil	daily	historical	1869	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1869.txt.gz
soil	daily	historical	1886	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1886.txt.gz
soil	daily	historical	191	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_191.txt.gz
soil	daily	historical	19171	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_19171.txt.gz
soil	daily	historical	19172	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_19172.txt.gz
soil	daily	historical	19207	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_19207.txt.gz
soil	daily	historical	1964	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1964.txt.gz
soil	daily	historical	1975	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1975.txt.gz
soil	daily	historical	198	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_198.txt.gz
soil	daily	historical	1981	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1981.txt.gz
soil	daily	historical	2014	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2014.txt.gz
soil	daily	historical	2023	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2023.txt.gz
soil	daily	historical	2039	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2039.txt.gz
soil	daily	historical	2044	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2044.txt.gz
soil	daily	historical	2074	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2074.txt.gz
soil	daily	historical	2110	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2110.txt.gz
soil	daily	historical	2115	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2115.txt.gz
soil	daily	historical	217	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_217.txt.gz
soil	daily	historical	2171	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2171.txt.gz
